fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-12-03,HOMBRE,4491,4696,641090
2020-12-03,MUJER,4757,4930,620894
2020-12-04,HOMBRE,4718,4794,645808
2020-12-04,MUJER,4904,5030,625798
2020-12-05,HOMBRE,5076,4931,650884
2020-12-05,MUJER,5426,5183,631224
2020-12-06,HOMBRE,4068,4984,654952
2020-12-06,MUJER,4448,5259,635672
2020-12-07,HOMBRE,5969,5038,660921
2020-12-07,MUJER,6234,5303,641906
2020-12-08,HOMBRE,5171,4866,666092
2020-12-08,MUJER,5344,5127,647250
2020-12-09,HOMBRE,5145,4948,671237
2020-12-09,MUJER,5506,5231,652756
2020-12-10,HOMBRE,6232,5197,677469
2020-12-10,MUJER,6453,5473,659209
2020-12-11,HOMBRE,5294,5279,682763
2020-12-11,MUJER,5596,5572,664805
2020-12-12,HOMBRE,5361,5320,688124
2020-12-12,MUJER,5520,5585,670325
2020-12-13,HOMBRE,4646,5402,692770
2020-12-13,MUJER,4689,5620,675014
2020-12-14,HOMBRE,6159,5429,698929
2020-12-14,MUJER,6517,5660,681531
2020-12-15,HOMBRE,5991,5546,704920
2020-12-15,MUJER,6116,5771,687647
2020-12-16,HOMBRE,4902,5512,709822
2020-12-16,MUJER,5098,5712,692745
2020-12-17,HOMBRE,4882,5319,714704
2020-12-17,MUJER,4805,5477,697550
2020-12-18,HOMBRE,5707,5378,720411
2020-12-18,MUJER,5702,5492,703252
2020-12-19,HOMBRE,4750,5291,725161
2020-12-19,MUJER,4815,5391,708067
2020-12-20,HOMBRE,5687,5439,730848
2020-12-20,MUJER,5487,5505,713554
2020-12-21,HOMBRE,5194,5301,736042
2020-12-21,MUJER,5192,5316,718746
2020-12-22,HOMBRE,4772,5127,740814
2020-12-22,MUJER,4675,5110,723421
2020-12-23,HOMBRE,4538,5075,745352
2020-12-23,MUJER,4657,5047,728078
2020-12-24,HOMBRE,5246,5127,750598
2020-12-24,MUJER,5344,5124,733422
2020-12-25,HOMBRE,5125,5044,755723
2020-12-25,MUJER,5347,5073,738769
2020-12-26,HOMBRE,5084,5092,760807
2020-12-26,MUJER,5520,5174,744289
2020-12-27,HOMBRE,5144,5014,765951
2020-12-27,MUJER,5561,5185,749850
2020-12-28,HOMBRE,6809,5245,772760
2020-12-28,MUJER,7182,5469,757032
2020-12-29,HOMBRE,4924,5267,777684
2020-12-29,MUJER,5104,5530,762136
2020-12-30,HOMBRE,5274,5372,782958
2020-12-30,MUJER,5400,5636,767536
2020-12-31,HOMBRE,6197,5508,789155
2020-12-31,MUJER,6444,5794,773980
2021-01-01,HOMBRE,8567,5999,797722
2021-01-01,MUJER,8852,6294,782832
2021-01-02,HOMBRE,6635,6221,804357
2021-01-02,MUJER,7128,6524,789960
2021-01-03,HOMBRE,6931,6476,811288
2021-01-03,MUJER,7285,6770,797245
2021-01-04,HOMBRE,8976,6786,820264
2021-01-04,MUJER,9733,7135,806978
2021-01-05,HOMBRE,8124,7243,828388
2021-01-05,MUJER,8620,7637,815598
2021-01-06,HOMBRE,7113,7506,835501
2021-01-06,MUJER,7537,7942,823135
2021-01-07,HOMBRE,7158,7643,842659
2021-01-07,MUJER,7454,8087,830589
2021-01-08,HOMBRE,7767,7529,850426
2021-01-08,MUJER,8068,7975,838657
2021-01-09,HOMBRE,7181,7607,857607
2021-01-09,MUJER,7419,8016,846076
2021-01-10,HOMBRE,8380,7814,865987
2021-01-10,MUJER,8825,8236,854901
